| S.No | English Word | Hindi Meaning     | Category  |
| ---- | ------------ | ----------------- | --------- |
| 1    | Kind         | दयालु             | Non-bully |
| 2    | Helpful      | सहायक             | Non-bully |
| 3    | Honest       | ईमानदार           | Non-bully |
| 4    | Brave        | बहादुर            | Non-bully |
| 5    | Polite       | विनम्र            | Non-bully |
| 6    | Respectful   | सम्मानजनक         | Non-bully |
| 7    | Friendly     | मित्रवत           | Non-bully |
| 8    | Smart        | बुद्धिमान         | Non-bully |
| 9    | Caring       | देखभाल करने वाला  | Non-bully |
| 10   | Gentle       | कोमल              | Non-bully |
| 11   | Happy        | खुश               | Non-bully |
| 12   | Strong       | मजबूत             | Non-bully |
| 13   | Loyal        | वफादार            | Non-bully |
| 14   | Creative     | रचनात्मक          | Non-bully |
| 15   | Calm         | शांत              | Non-bully |
| 16   | Wise         | बुद्धिमान         | Non-bully |
| 17   | Patient      | धैर्यवान          | Non-bully |
| 18   | Loving       | प्रेमपूर्ण        | Non-bully |
| 19   | Supportive   | सहयोगी            | Non-bully |
| 20   | Confident    | आत्मविश्वासी      | Non-bully |
| 21   | Stupid       | बेवकूफ            | Bully     |
| 22   | Idiot        | मूर्ख             | Bully     |
| 23   | Fool         | बेवकूफ            | Bully     |
| 24   | Loser        | हारने वाला        | Bully     |
| 25   | Dumb         | मंदबुद्धि         | Bully     |
| 26   | Weak         | कमजोर             | Bully     |
| 27   | Useless      | बेकार             | Bully     |
| 28   | Lazy         | आलसी              | Bully     |
| 29   | Ugly         | बदसूरत            | Bully     |
| 30   | Fat          | मोटा              | Bully     |
| 31   | Thin         | दुबला             | Bully     |
| 32   | Crybaby      | रोने वाला         | Bully     |
| 33   | Nerd         | पढ़ाकू (अपमानजनक) | Bully     |
| 34   | Freak        | अजीब व्यक्ति      | Bully     |
| 35   | Psycho       | पागल              | Bully     |
| 36   | Weird        | अजीब              | Bully     |
| 37   | Clumsy       | भद्दा             | Bully     |
| 38   | Coward       | कायर              | Bully     |
| 39   | Cheat        | धोखेबाज़          | Bully     |
| 40   | Liar         | झूठा              | Bully     |
| 41   | Honest       | ईमानदार           | Non-bully |
| 42   | Joyful       | आनंदित            | Non-bully |
| 43   | Responsible  | जिम्मेदार         | Non-bully |
| 44   | Sincere      | सच्चा             | Non-bully |
| 45   | Helpful      | मददगार            | Non-bully |
| 46   | Intelligent  | बुद्धिमान         | Non-bully |
| 47   | Positive     | सकारात्मक         | Non-bully |
| 48   | Respectful   | सम्मानपूर्ण       | Non-bully |
| 49   | Motivated    | प्रेरित           | Non-bully |
| 50   | Dedicated    | समर्पित           | Non-bully |
| 51   | Worthless    | निकम्मा           | Bully     |
| 52   | Nonsense     | बकवास             | Bully     |
| 53   | Failure      | असफल व्यक्ति      | Bully     |
| 54   | Dummy        | मूर्ख             | Bully     |
| 55   | Annoying     | परेशान करने वाला  | Bully     |
| 56   | Irritating   | चिढ़ाने वाला      | Bully     |
| 57   | Brat         | बिगड़ैल बच्चा     | Bully     |
| 58   | Rotten       | घटिया             | Bully     |
| 59   | Trash        | कचरा              | Bully     |
| 60   | Garbage      | कूड़ा             | Bully     |
| 61   | Leader       | नेता              | Non-bully |
| 62   | Scholar      | विद्वान           | Non-bully |
| 63   | Mentor       | मार्गदर्शक        | Non-bully |
| 64   | Hero         | नायक              | Non-bully |
| 65   | Champion     | विजेता            | Non-bully |
| 66   | Honest       | सच्चा             | Non-bully |
| 67   | Noble        | महान              | Non-bully |
| 68   | Humble       | विनम्र            | Non-bully |
| 69   | Reliable     | भरोसेमंद          | Non-bully |
| 70   | Trustworthy  | विश्वसनीय         | Non-bully |
| 71   | Joker        | मसखरा             | Bully     |
| 72   | Clown        | जोकर              | Bully     |
| 73   | Pig          | सूअर              | Bully     |
| 74   | Donkey       | गधा               | Bully     |
| 75   | Monkey       | बंदर              | Bully     |
| 76   | Snake        | साँप              | Bully     |
| 77   | Rat          | चूहा              | Bully     |
| 78   | Worm         | कीड़ा             | Bully     |
| 79   | Dog          | कुत्ता            | Bully     |
| 80   | Buffalo      | भैंस              | Bully     |
| 81   | Pleasant     | सुखद              | Non-bully |
